comment,list of emojis,sentiment ranking,classification
🙌🙌🙌🔥,"['🙌', '🙌', '🙌', '🔥']",0.45500000000000007,Positive
Oui smih smiya li gelti f you tube❤️❤️🔥❤️,"['❤', '❤', '🔥', '❤']",0.5945,Positive
Well done to Yasir for getting through all these tough challenges he faced with his family and the outside world 👏,['👏'],0.521,Positive
Waw 3la 9isa🔥🔥🔥,"['🔥', '🔥', '🔥']",0.14,Positive
"Tbarkelah elik Welah 3ayachtini f histoire 😍 
You’re the best one ☝️","['😍', '☝']",0.496,Positive
😍,['😍'],0.678,Positive
@farahbenhami @wakkakhafsa @kenzaomd 👌,['👌'],0.564,Positive
@salahmatrex 👌,['👌'],0.564,Positive
قصة فعلا رائعة 👍,['👍'],0.522,Positive
من لا شيء👏😍,"['👏', '😍']",0.5995,Positive
قصة جميلة❤️,['❤'],0.746,Positive
💪❤️,"['💪', '❤']",0.651,Positive
👏👏,"['👏', '👏']",0.521,Positive
👌👍💪,"['👌', '👍', '💪']",0.5473333333333333,Positive
👍🏻👍🏻🤍🤍🤍,"['👍', '🏻', '👍', '🏻', '\U0001f90d', '\U0001f90d', '\U0001f90d']",0.14914285714285716,Positive
شوف طرولات لي كندير الهربة 🤣لا ضحكوك خلي ابوني ❤🔥,"['🤣', '❤', '🔥']",0.29533333333333334,Positive
❤️,['❤'],0.746,Positive
5aye a amin makrahnachi tbe9a te3emel save ne live 7ite ne9edrou nekono mechegholin ou manetefarjouchi ❤️❤️,"['❤', '❤']",0.746,Positive
😂😂😂😂,"['😂', '😂', '😂', '😂']",0.221,Positive
Kolchi 3la sir l  khaliij😂😂😂😂😂 li tfrj ghyfhaam,"['😂', '😂', '😂', '😂', '😂']",0.221,Positive
@raghib.official تحية ليك خويا ليميش 😂😂😂,"['😂', '😂', '😂']",0.221,Positive
Sdi Amin zin tbarkellah 3lik ❤️,['❤'],0.746,Positive
Folow me 🌹❤️,"['🌹', '❤']",0.6779999999999999,Positive
💞,['💞'],0.742,Positive
Vip akhoya hta homa nsaba chi he'd I jawbi? ?💛💛,"['💛', '💛']",0.713,Positive
وعلاش كتصورو عريانين أعباد لله هدشي لمباغيش إتفهم ليا🤣🤣🤦🤦🤦,"['🤣', '🤣', '🤦', '🤦', '🤦']",0.0,Objective / Non-conclusive
انا ماعندي مناش نخاف بيا ماكنصور عريانة غير اصيفطووو ونشوفو فين غنوصلو كاع🤣🤣 حافيالي,"['🤣', '🤣']",0.0,Objective / Non-conclusive
👌🏼,"['👌', '🏼']",0.282,Positive
شكرا 😍😍😍😍❤️,"['😍', '😍', '😍', '😍', '❤']",0.6916,Positive
الشخص الوحيد لي كينفعنا 👍👍👍👍,"['👍', '👍', '👍', '👍']",0.522,Positive
حتى انا وقعات ليا رسلو ليا اميل وفيه باسوورد كنخدم بيها نيت . بلحق محيتو ونسيتو 😅,['😅'],0.18,Positive
معلومة مهمة أن الناس اعرفوها شكرا وارجوا منك أنك تكثر من بحال هاد الفيديوات للتوعية شكرا 💕💕💕,"['💕', '💕', '💕']",0.633,Positive
O ana password li 3ndi rah ana dayro f kolxi🤣,['🤣'],0.0,Objective / Non-conclusive
بارك الله فيك 💕,['💕'],0.633,Positive
👏😍,"['👏', '😍']",0.5995,Positive
مساليين هاذ ناس 🙁🙁🙁,"['🙁', '🙁', '🙁']",0.0,Objective / Non-conclusive
😍,['😍'],0.678,Positive
❤️❤️👏,"['❤', '❤', '👏']",0.6709999999999999,Positive
Hhhh sa7tek 👏👏,"['👏', '👏']",0.521,Positive
هل تعلم أن لا احد يدعمني ؟ لأنني أنشر الثقافة والفائدة ولا أنشر الرقص والفاحشة 💖😣,"['💖', '😣']",0.2495,Positive
❤️,['❤'],0.746,Positive
😅😅😅😅😅😅 بالصحة و الراحة,"['😅', '😅', '😅', '😅', '😅', '😅']",0.17999999999999997,Positive
Lkhbzaoui 😁😂,"['😁', '😂']",0.3355,Positive
بصاحتك أبا أمين ⁦✌🏻⁩,"['✌', '🏻']",0.232,Positive
🙌🙌🙌,"['🙌', '🙌', '🙌']",0.56,Positive
🔥🔥,"['🔥', '🔥']",0.14,Positive
❤️❤️,"['❤', '❤']",0.746,Positive
😍😍😍,"['😍', '😍', '😍']",0.678,Positive
😮😮😮😮😍,"['😮', '😮', '😮', '😮', '😍']",0.358,Positive
❤️❤️,"['❤', '❤']",0.746,Positive
❤️😍,"['❤', '😍']",0.712,Positive
😍,['😍'],0.678,Positive
😍😍❤️😍😍,"['😍', '😍', '❤', '😍', '😍']",0.6916,Positive
Amine 3afak ila kan momkin tchof lprivé diyal c urgent 🙌🙏🙏🙏 @raghib.official,"['🙌', '🙏', '🙏', '🙏']",0.45349999999999996,Positive
jazak allah khir ila machof lprivee 3nd @norafatehi_arabstranslate allah ykhalik🙏,['🙏'],0.418,Positive
🤣,['🤣'],0.0,Objective / Non-conclusive
😂,['😂'],0.221,Positive
Bba Amine tbaark lah 3liik w tbaaark lah 3la le contenu lli kat3tiii 7iiit vrm kanstaafdoo m3aak bzaaf... Chapeau 👍,['👍'],0.522,Positive
😂,['😂'],0.221,Positive
ملي كتشري شي بياسا بَلوِيا أو گتجي معاك😅😅,"['😅', '😅']",0.18,Positive
مرحبا بك ❤️❤️❤️,"['❤', '❤', '❤']",0.746,Positive
قدوتنا ❤️❤️,"['❤', '❤']",0.746,Positive
"👨‍👩‍👧‍👦Voulez vous passez un Séjour à Marrakech 🙋‍♂️À NE PAS RATER💯⚠️😮🤫 ☑️ Réservez des Meilleurs appartements avec un bon prix 🌴🏡
Pour plus d'informations sur nos services : 👇👇👇
👨‍💻 Merci de nous appeler sur : +212680202330 ☎️
✍️ Ou vs envoyez un message privé à la page officiel 📩
[https://m.facebook.com/marrakech.global.invest.officiel/
🌐 Pour savoir plus sur nous merci de visitez notre site :
https://www.marrakech-globalinvest.com
#logement #immobilier #appartement #maison #vente #immo #investissement #realestate #architecture #location #agentimmobilier #villa #paris #investissementimmobilier #france #construction #agenceimmobiliere #achat #immeuble #prix #immobilierneuf #conseils #avendre #covid #famille #home #interiordesign #confinement","['👨', '👩', '👧', '👦', '🙋', '♂', '💯', '⚠', '😮', '🤫', '☑', '🌴', '🏡', '👇', '👇', '👇', '👨', '💻', '☎', '✍', '📩', '🌐']",0.28904545454545455,Positive
إلياس سوى ههههههههههه غير ضاحك قمة التواضع رغيب👏,['👏'],0.521,Positive
دراري بالروجولة شكون كيعرف شي طريقة باش نأكد العنوان ديالي ف ادسنس ،داك ال PIN مزال موصلنيش الى حد الان و داز عليه اكتر من شهرين😔😔,"['😔', '😔']",-0.146,Negative
Best moroccan YouTubers 🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦 please like and subscribe https://m.youtube.com/channel/UCyIvBpqMdP3Z6YZB0sx2POA,"['🇲', '🇦', '🇲', '🇦', '🇲', '🇦', '🇲', '🇦', '🇲', '🇦']",0.2855,Positive
لم تشبع حتى في كرشك وتشتري آيفون 12 😆📱,"['😆', '📱']",0.3695,Positive
👍👍👍👍👍👍,"['👍', '👍', '👍', '👍', '👍', '👍']",0.5220000000000001,Positive
يا امين الله يحفظك راهم سكرو link تع الدورات ملحقتش عليهم كنت دابة نهبط في سيو .راحلي فايسبوك ادس و دروبشيبيينغ الله يسترك عاود حطه 😍😍😍😍,"['😍', '😍', '😍', '😍']",0.678,Positive
❤️❤️❤️❤️❤️❤️,"['❤', '❤', '❤', '❤', '❤', '❤']",0.746,Positive
كنتمنى تجاوبني فالخاص والله محتاجة المساعدة ديالك الله يسهل عليك  اخويا امين ❤️😢😢😢😢,"['❤', '😢', '😢', '😢', '😢']",0.1548,Positive
السلام عليكم ورحمة الله وبركاته  اتمنى تجاوب على الميساج ديالي يارب انا فحاجة ماسة لك معندي غير ربي والله محتاجة المساعدة ديالك الله يسهل عليك الى كان ممكن نتواصلو عبر الهاتف او الواتساب محتاجة المساعدة  والله لي حاس بيا❤️❤️,"['❤', '❤']",0.746,Positive
🤣🤣,"['🤣', '🤣']",0.0,Objective / Non-conclusive
Choooha m3a had nass dyal leghna galik lfaan😣🤮,"['😣', '🤮']",-0.107,Negative
😂😂😂😂,"['😂', '😂', '😂', '😂']",0.221,Positive
😂😂😂😂😂,"['😂', '😂', '😂', '😂', '😂']",0.221,Positive
😂,['😂'],0.221,Positive
😂😂😂😂😭,"['😂', '😂', '😂', '😂', '😭']",0.1582,Positive
😂😂😂😂,"['😂', '😂', '😂', '😂']",0.221,Positive
@nne.imaa نوضي تغني و نشد لييك أنا لميكرو تا حنا ناخدو الدعم القضية فيها الملاين😂,['😂'],0.221,Positive
😂نو ماشي الغناء خاصك تعلم التطبال 🥁,"['😂', '🥁']",0.1105,Positive
كاين معهد محمد رويشة 🤣🤣,"['🤣', '🤣']",0.0,Objective / Non-conclusive
شي كتاب الخوت كيف أكون مغنيا في أسبوع ههه😂😂,"['😂', '😂']",0.221,Positive
قنعتيني🤣😂😂😂,"['🤣', '😂', '😂', '😂']",0.16575,Positive
مالك كضحك علينا السي أمين قلب الشركة ديال لشركة موسيقية و تستافد 👏👏🔥🔥😂😂,"['👏', '👏', '🔥', '🔥', '😂', '😂']",0.29400000000000004,Positive
حتى أنا بغيت نغني شي معهد الموسيقى الله إرحم ليكم الوالدين بغيت ندفع ل the voice😂😂😂😂😂😂🙏,"['😂', '😂', '😂', '😂', '😂', '😂', '🙏']",0.24914285714285714,Positive
😂😂😂😂😂,"['😂', '😂', '😂', '😂', '😂']",0.221,Positive
😂❤️,"['😂', '❤']",0.4835,Positive
😂😂😂😂😂,"['😂', '😂', '😂', '😂', '😂']",0.221,Positive
😂😂😂😂😂,"['😂', '😂', '😂', '😂', '😂']",0.221,Positive
😂😂😂😂😂😂😂😂😂,"['😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂']",0.22100000000000003,Positive
😂,['😂'],0.221,Positive
Best moroccan YouTubers 🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦 please like and subscribe https://m.youtube.com/channel/UCyIvBpqMdP3Z6YZB0sx2POA,"['🇲', '🇦', '🇲', '🇦', '🇲', '🇦', '🇲', '🇦', '🇲', '🇦']",0.2855,Positive
👏👏😂😂😂,"['👏', '👏', '😂', '😂', '😂']",0.3410000000000001,Positive
السلام عليكم ورحمة الله وبركاته  اتمنى تجاوب على الميساج ديالي يارب انا فحاجة ماسة لك معندي غير ربي والله محتاجة المساعدة ديالك الله يسهل عليك الى كان ممكن نتواصلو عبر الهاتف او الواتساب محتاجة المساعدة  والله لي حاس بيا❤️❤️,"['❤', '❤']",0.746,Positive
😄😄👍❤️,"['😄', '😄', '👍', '❤']",0.528,Positive
بارك الله فيك أخي رغيب 💜,['💜'],0.656,Positive
كيف حالك يا سي أمين مع انستجرام 😂,['😂'],0.221,Positive
👏,['👏'],0.521,Positive
Toujours il faut afficher le timbre 😮,['😮'],0.278,Positive
👏👏👏,"['👏', '👏', '👏']",0.521,Positive
👏👏,"['👏', '👏']",0.521,Positive
👏👏👏,"['👏', '👏', '👏']",0.521,Positive
Rak dim top.nty ahhssan wahad chafto 😍,['😍'],0.678,Positive
👏👏,"['👏', '👏']",0.521,Positive
Rak dim top.nty ahhssan wahad chafto 😍,['😍'],0.678,Positive
👏👏,"['👏', '👏']",0.521,Positive
تم تبنيد حسابي الأول و هذا حسابي التاني، المرجوا دعمكم ❤️ 😢🔥❤️@info.elek,"['❤', '😢', '🔥', '❤']",0.40975,Positive
👏👏👏👏 3wni akhoy,"['👏', '👏', '👏', '👏']",0.521,Positive
ربي يحفظك اخويا❤️😍,"['❤', '😍']",0.712,Positive
دراري بالروجولة شكون كيعرف شي طريقة باش نأكد العنوان ديالي ف ادسنس ،داك ال PIN مزال موصلنيش الى حد الان و داز عليه اكتر من شهرين😔😔,"['😔', '😔']",-0.146,Negative
معلوماتك غالطة 🤣,['🤣'],0.0,Objective / Non-conclusive
الله اكبر بك استاذنا الغالي أمين رغيب🌹❤️,"['🌹', '❤']",0.6779999999999999,Positive
Ana ma kaysoniwlich wch kayn chi mochkil😂,['😂'],0.221,Positive
❤️❤️👍👍,"['❤', '❤', '👍', '👍']",0.6340000000000001,Positive
واااو باش فكرتنا 😂,['😂'],0.221,Positive
😂😂😂😂,"['😂', '😂', '😂', '😂']",0.221,Positive
😂😂😂😂,"['😂', '😂', '😂', '😂']",0.221,Positive
telechargit menha la zik mp3 kan3emer wz7ed mp3 kant 3endi ta tebt hhh😂,['😂'],0.221,Positive
"Allah 3ela liyaaam, yamaat deyal Mp3 we ziiidee, kent kadabar 3ela dik 5dh Bach ghir temechi te9aset fe sibeer.. 
ياليت الزمن يعود كيف ما كان 🥺",['🥺'],0.0,Objective / Non-conclusive
😍😍😍😍wayeeeeeeh,"['😍', '😍', '😍', '😍']",0.678,Positive
👏,['👏'],0.521,Positive
😏,['😏'],0.332,Positive
😂😂😂😂,"['😂', '😂', '😂', '😂']",0.221,Positive
🥺,['🥺'],0.0,Objective / Non-conclusive
😢😢😢😢,"['😢', '😢', '😢', '😢']",0.007,Positive
😂😂😂😂😂 ayaaaam,"['😂', '😂', '😂', '😂', '😂']",0.221,Positive
اول مرة كنعرفك قديم 😂 @raghib.official,['😂'],0.221,Positive
🔥🔥🔥❤️,"['🔥', '🔥', '🔥', '❤']",0.2915,Positive
تم تبنيد حسابي الأول و هذا حسابي التاني، المرجوا دعمكم ❤️ 😢🔥❤️@info.elek,"['❤', '😢', '🔥', '❤']",0.40975,Positive
"MSN, SKYROCK, MAROCZIK 🔥🔥🔥","['🔥', '🔥', '🔥']",0.14,Positive
😂😂😂😂 si amine 3alam تحياتي ❤️,"['😂', '😂', '😂', '😂', '❤']",0.32599999999999996,Positive
Knt kantl9 fiha big o haja hamdawia o kayts7aab lia ma3rt ach drt dik sa3 li 3ndo cnx raah kaayn 😂😂,"['😂', '😂']",0.221,Positive
عطاك الله الصحة 👌,['👌'],0.564,Positive
عطاك الله الصحة 👌,['👌'],0.564,Positive
Lmeghrib fin wsel 😢,['😢'],0.007,Positive
لا خصو براءة باش يغتصبك نتا 👏,['👏'],0.521,Positive
❤️,['❤'],0.746,Positive
❤️❤️❤️,"['❤', '❤', '❤']",0.746,Positive
"Respect for you bro , i wish you all the luck👏🔥","['👏', '🔥']",0.3305,Positive
أكيد 👏👏👏👏👏👏,"['👏', '👏', '👏', '👏', '👏', '👏']",0.521,Positive
👌👌👌👌,"['👌', '👌', '👌', '👌']",0.564,Positive
ا غيير كتخربق اخااي امين ناس مكيقولوش الاعدام ماشي حل لكن الاعدام ولا قطع يد السارق ولا ولا ولا راه كاين فالعديد من البلدان و عمر مستوى ديال الجريمة نقص حنا كنقلبو على الحل باش ميكونوش عدنانات اخرين من هنا القدام خاصنا ثقافة نبنيوها غير بيناتنا بلا منحتاجو للدولة واخا هيا المكون الرئيسي ف التغيير خاصنا داك البيدوفيلي الا قتلناه واحد اخر مريض نفسي بنفس المرض غادي يخاف و يقتل شي حد خور ديك الهضرة ديال عبرة عمرها كانت بصااح نديرو اعادة الادماج كيما كيوقع فالسويد دابا و نقص معدل الجريمة ب 30% اما ف كوريا الجنوبية و الهند لي قوانين صارمة عمر معدل الجريمة نقص بالعكس واش زاد ☺,['☺'],0.658,Positive
🌹👏,"['🌹', '👏']",0.5655,Positive
اكثريه الناس لي كدافع على المجرم، ما عندهومش ولاد، حنا كلها نطالب بأشد العقوبات لكل من سولت له نفسه بتعذيب  واغتصاب البراءه 😢,['😢'],0.007,Positive
👍👍👍👍,"['👍', '👍', '👍', '👍']",0.522,Positive
"بغيتي تخدم وتغير حياتك 
اليوم كنقدم ليك اكبر فرصة للربح 💴اكبر فرصة للنجاح غير عبر الانترنت مع شركة _*twentyxpro*_
مخاسر وااالو فقط تواصلوا معايا من هنا 👇🏻👇🏻
https://api.whatsapp.com/send?phone=212650909668","['💴', '👇', '🏻', '👇', '🏻']",0.052000000000000005,Positive
وشبني  أسي رغيب 😁😁,"['😁', '😁']",0.45,Positive
آمييييييييييييييييييين🙌🙌🙌,"['🙌', '🙌', '🙌']",0.56,Positive
❤️,['❤'],0.746,Positive
اللهم آمين ربي كبير 😉,['😉'],0.464,Positive
Bsaha khay Amine ❤️,['❤'],0.746,Positive
امين ياراب العلمين 👍,['👍'],0.522,Positive
pliz amin doz privi bghitak tnsa7ni bwahd lma3loma 🎈,['🎈'],0.726,Positive
الله يوفقك😊,['😊'],0.645,Positive
Nadi khoya raghib 🌺🌺🌺❤️👍👌,"['🌺', '🌺', '🌺', '❤', '👍', '👌']",0.5853333333333334,Positive
🙏,['🙏'],0.418,Positive
شرفتي خاي امين راك عزيز ياربي ماتموت لينا😭😭😭,"['😭', '😭', '😭']",-0.09300000000000001,Negative
"السلام عليكم 😊 المرجو زيارة صفحتنا 🙏المهتمة بعرض منتجات نسائية(👠👡👗...)
فضلا و ليس أمرا ⁦❤️⁩","['😊', '🙏', '👠', '👡', '👗', '❤']",0.49133333333333334,Positive
Toop akouya Amin Rak toop dim tooop tasth9a tawslah la3lah mratbh fa naja7a ou taloe9a💋💋,"['💋', '💋']",0.693,Positive
😍😍😍,"['😍', '😍', '😍']",0.678,Positive
و الله ازكلتي غا هدي () لا تحرك داكشي 😂😂😂,"['😂', '😂', '😂']",0.221,Positive
"@oulmourifsalaheddine 
😂",['😂'],0.221,Positive
Ana kitlfoli les accolades 😂😂,"['😂', '😂']",0.221,Positive
بالدموع😂💔,"['😂', '💔']",0.0495,Positive
"صفحة تهتم بكل ماهو جديد الهواتف الذكية، تطبيقات اندرويد ،مواقع ،الحاسوب ،التكنولوجيا و منوعات مفيدة💓
اشترك في الصفحة لتستفيد⁦♥️⁩","['💓', '♥']",0.665,Positive
Azert❤️,['❤'],0.746,Positive
🤣,['🤣'],0.0,Objective / Non-conclusive
🤣👏,"['🤣', '👏']",0.2605,Positive
😂😂😂😂😂,"['😂', '😂', '😂', '😂', '😂']",0.221,Positive
Indentation error 👏👏👏,"['👏', '👏', '👏']",0.521,Positive
@salah_drew_10 😂😂,"['😂', '😂']",0.221,Positive
@othmane_obn @oumaima_malouane 😂😂,"['😂', '😂']",0.221,Positive
😂😂😂😂😂😂😂 👍🏻,"['😂', '😂', '😂', '😂', '😂', '😂', '😂', '👍', '🏻']",0.2298888888888889,Positive
👍👍👍👍👍👍,"['👍', '👍', '👍', '👍', '👍', '👍']",0.5220000000000001,Positive
🔥😂,"['🔥', '😂']",0.1805,Positive
azerty 💪💪💪💪💪 تبقى الأقوى,"['💪', '💪', '💪', '💪', '💪']",0.556,Positive
Daba na hakr ghir ma3arfch rasi😂,['😂'],0.221,Positive
😂😂😂,"['😂', '😂', '😂']",0.221,Positive
#@mindtaker09 😂😂😂😂,"['😂', '😂', '😂', '😂']",0.221,Positive
😂😂😂😂,"['😂', '😂', '😂', '😂']",0.221,Positive
🤔🤔,"['🤔', '🤔']",0.0,Objective / Non-conclusive
مشات ليا 6000dh 🙂,['🙂'],0.0,Objective / Non-conclusive
😂😂😂😂😂😂😂,"['😂', '😂', '😂', '😂', '😂', '😂', '😂']",0.22100000000000003,Positive
🤣,['🤣'],0.0,Objective / Non-conclusive
لعار لما فهموني اش واقع 😢,['😢'],0.007,Positive
😂😂😂,"['😂', '😂', '😂']",0.221,Positive
😍,['😍'],0.678,Positive
Saraha Eandi 60dh khayef Eliha Ydiwhali😂😁,"['😂', '😁']",0.3355,Positive
لما فركابي 😂,['😂'],0.221,Positive
@meriem.zoubir 😂😂nti🙂,"['😂', '😂', '🙂']",0.14733333333333334,Positive
في هاد الأثناء راه كا يقول بلاصة كبوطي وا فلوسي وا فلوسي يا عباد الله 😂😂😂😂😂😂,"['😂', '😂', '😂', '😂', '😂', '😂']",0.221,Positive
😮,['😮'],0.278,Positive
Si raghib likhtra9hom 😂😂,"['😂', '😂']",0.221,Positive
🤯🤯🤯🤯,"['🤯', '🤯', '🤯', '🤯']",0.0,Objective / Non-conclusive
سؤال منطقي 👍👌,"['👍', '👌']",0.5429999999999999,Positive
😉 Hada soual,['😉'],0.464,Positive
هاد و  واعرين نعقل في بداية الألفية عرفتوا اشنوا اسم العذاب العذاب .كانوا ابغاوا يبيعو لينا شقة د ١٠٠ مليون على ٣٥٠٠.درهم جمعتها لان الكريدي كيدوز في كل ٥ فشهر ولي جات مع السبت كيحسبوا اعليك تاخيرretard...نهار السبت ا ب ٢٠٠ درهم و الاحد ب ١٥٠ .و سكتوا حتى جمعوا ٣٥٠٠ درهم و حطوا لينا الملف بالمحكمة تجارية .. لولا لطف الله و الخير لي دير مولاتها لباعوها غير بيناتهوم بالمزاد العلني و مولاتها مهاجرة زعما  يا حصرى عندها الحساب في البنك تجاري و لكريدي مع  cih هنا اصحاب المشروع معرفوشي يراسلوا البنكة الأخرى على التاخير .او يراسل صاحبة الملك ..واييه ..الشفرة بالقانون والاوراق💥 .ملاحظة 💥💥انتبهوا لي عندوا كريدي يمشي يهز لفلوس من احسابوا و يحطهوم بيديه .فقط للمعلومة هاد شي فاتت اعليه أكثر من ١٥ سنة  ه,"['💥', '💥', '💥']",0.149,Positive
😢,['😢'],0.007,Positive
🤔🤔🤔🤔🤔🤔👍,"['🤔', '🤔', '🤔', '🤔', '🤔', '🤔', '👍']",0.07457142857142858,Positive
😂,['😂'],0.221,Positive
🤔,['🤔'],0.0,Objective / Non-conclusive
انا كانت عندي 50 درهم مزالا فيه🤔,['🤔'],0.0,Objective / Non-conclusive
😂😂😂😂😂😂😂😂😂😂,"['😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂']",0.22100000000000003,Positive
وراه بصح حمد حنين قولو غير الحق 😂,['😂'],0.221,Positive
@zineb_farhane 😂😂😂😂,"['😂', '😂', '😂', '😂']",0.221,Positive
😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,"['😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂']",0.22100000000000006,Positive
@shaimae.09  hadi nti 😅,['😅'],0.18,Positive
💔,['💔'],-0.122,Negative
😥,['😥'],0.123,Positive
انا تفرجت في هاد المقطع تقريبا اكثر من عشر مرات وكل مااتفرج فيه العين تدمع والقلب يحزن على طفل عنده اربع سنين اصبح يتيم الاب والام في فترة قصيرة بين فقدان الاب والام الله يرحمهم ولا حول ولا قوة الا بالله وانا لله وانا اليه راجعون 😭,['😭'],-0.093,Negative
😢,['😢'],0.007,Positive
😔,['😔'],-0.146,Negative
😢,['😢'],0.007,Positive
😢,['😢'],0.007,Positive
😢,['😢'],0.007,Positive
والحاجة زوينة فهدشي هو أنه بقا مع ولادها وخدم لكبير يمكن فالامن المهم متخلاش عليهم👏,['👏'],0.521,Positive
الله يرحم واليديهم ويكون فعونهم ربي كبير يعوضهم دنيا وآخرة الحمدلله 🤲🏼,"['🤲', '🏼']",0.0,Objective / Non-conclusive
allh ira7mo🤲🏽,"['🤲', '🏽']",0.0,Objective / Non-conclusive
Awhhh meskinn 9ra m3aya f la fac lahh ra7mo 😢,['😢'],0.007,Positive
ولله حتى كان ولد الناس وديما ضاحك 😔 الله يرحمو ياربي 🙏🏻,"['😔', '🙏', '🏻']",0.09066666666666667,Positive
إنا لله وإنا إليه راجعون 😭,['😭'],-0.093,Negative
Ly ra7mk ❤️,['❤'],0.746,Positive
Layrahmek akhoya soufiane 😢,['😢'],0.007,Positive
والله يرحمو و يجعلو من أهل الجنة ❤️,['❤'],0.746,Positive
اللهم أظله بجناح رحمتك 🙏🙏,"['🙏', '🙏']",0.418,Positive
الله يرحمو ياربي💚,['💚'],0.659,Positive
🙏🙏🙏,"['🙏', '🙏', '🙏']",0.418,Positive
😢,['😢'],0.007,Positive
الله يرحمو❤️❤️❤️😢😢😢,"['❤', '❤', '❤', '😢', '😢', '😢']",0.37650000000000006,Positive
إن لله وإن إليه راجعون.اللهم ارحمه واغفر له واسكنه فسيح جناتك يا ارحم الراحمين 🤲,['🤲'],0.0,Objective / Non-conclusive
الله يرحمو ويغفرلو🙏🙏,"['🙏', '🙏']",0.418,Positive
😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,"['😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂']",0.22100000000000006,Positive
Wach had za*i manyto😂,['😂'],0.221,Positive
اخبار شوف تيفي 😕,['😕'],-0.4,Negative
😂😂😂,"['😂', '😂', '😂']",0.221,Positive
🤣🤣,"['🤣', '🤣']",0.0,Objective / Non-conclusive
شوف طرولات لي كندير الهربة 🤣لا ضحكوك خلي ابوني ❤🔥,"['🤣', '❤', '🔥']",0.29533333333333334,Positive
😂😂😂😂😂😂😂😂😂😂😂😂,"['😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂']",0.22100000000000006,Positive
بغيت نعرف شكون كي صوت فاألاسكا ديبابة 😂😂😂😂😂😂😂😂,"['😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂']",0.22100000000000003,Positive
تعاشر مع لعرب لصقوا فيه فعايلنا😂😂,"['😂', '😂']",0.221,Positive
Fir3awn hhhhhhh🤣🤣🤣,"['🤣', '🤣', '🤣']",0.0,Objective / Non-conclusive
حلف بالله ok 🙂,['🙂'],0.0,Objective / Non-conclusive
😂😂😂,"['😂', '😂', '😂']",0.221,Positive
3ando ra2is dyal L’algerie  f Qarjotoo 😂😂😂😂😂😂,"['😂', '😂', '😂', '😂', '😂', '😂']",0.221,Positive
😂😂,"['😂', '😂']",0.221,Positive
Dar khadmat lkaraya 😂😂😂😂,"['😂', '😂', '😂', '😂']",0.221,Positive
@alhudoodnet they steal your posts 😒,['😒'],-0.375,Negative
🤣🤣🤣🤣🤣🤣,"['🤣', '🤣', '🤣', '🤣', '🤣', '🤣']",0.0,Objective / Non-conclusive
😂😂😂,"['😂', '😂', '😂']",0.221,Positive
😂😂😂,"['😂', '😂', '😂']",0.221,Positive
ياربي لي طاحت عينيه على هاد التعليق بغيت ربي يوفقك ويسهل عليك ويرزق والديك الجنة إنشاء الله فرحني بمتابعة لحسابي ربي يفرحك ❤️❤️,"['❤', '❤']",0.746,Positive
لاحنا ف ميريكان معندناش هاد لباس 🤣🤣🤣🤣🤣,"['🤣', '🤣', '🤣', '🤣', '🤣']",0.0,Objective / Non-conclusive
😂,['😂'],0.221,Positive
😂😂,"['😂', '😂']",0.221,Positive
😂😂😂😂😂,"['😂', '😂', '😂', '😂', '😂']",0.221,Positive
😂😂😂😂😂😂 lkasakisss lmsand rasmi 😂😂😂,"['😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂']",0.22100000000000003,Positive
😂😂😂😂😂,"['😂', '😂', '😂', '😂', '😂']",0.221,Positive
😂😂😂😂😂😂😂😂,"['😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂']",0.22100000000000003,Positive
😂😂😂😂,"['😂', '😂', '😂', '😂']",0.221,Positive
التجمع الوطني للأشرار👽,['👽'],0.322,Positive
😂😂😂,"['😂', '😂', '😂']",0.221,Positive
مرقو الانتخابات حتا هوما😅,['😅'],0.18,Positive
😂😂😂😂😂😂😂😂😂😂,"['😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂']",0.22100000000000003,Positive
🤣😂,"['🤣', '😂']",0.1105,Positive
hhhhhh😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,"['😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂']",0.22100000000000006,Positive
